RA;ED1;ED2;ED2A;ED3;ED4/5;ED Total;Prova;Nota da Prova;Nota do Estudo;NOTA FINAL
6323556;0.9;0.85;1;1;0.99;0.948;0.99;7.425;2.37;9.795
2426153;1;1;0.95;1;1;0.99;0.93;6.975;2.475;9.45
2326073;1;1;0.98;1;0.92;0.98;0.95;7.125;2.45;9.575
2326106;1;1;1;1;0.95;0.99;1;7.5;2.475;9.975
1926166;1;0.99;0;1;0.9;0.778;0.822;6.165;1.945;8.11
2326038;0;0;0;0;0;0;0.854;6.405;0;6.405
1926097;1;0.99;0.99;0.99;0.9;0.974;0.756;5.67;2.435;8.105
2426151;1;1;0.9;0.9;0.85;0.93;0.862;6.465;2.325;8.79
1926194;1;1;1;0.9;0.87;0.954;1;7.5;2.385;9.885
2426024;0.86;0.75;1;1;0.7;0.862;0.912;6.84;2.155;8.995
1926243;0.99;0;0.96;0.98;0.98;0.782;0.902;6.765;1.955;8.72
1926011;0.9;0.9;1;1;0.9;0.94;0.959;7.1925;2.35;9.5425
3925007;0.99;0.85;0;0.99;0.95;0.756;0.796;5.97;1.89;7.86
2426086;1;1;0.9;0.9;0.85;0.93;0.91;6.825;2.325;9.15
2426095;1;0.98;1;1;0.99;0.994;0.8;6;2.485;8.485
2326080;0;0;0;0;0;0;0;0;0;0
2326099;1;1;1;1;0.95;0.99;0.82;6.15;2.475;8.625
1926162;0.85;0.8;1;0.9;0.95;0.9;0.883;6.6225;2.25;8.8725
1721138;0.85;1;1;0.99;0.95;0.958;0.912;6.84;2.395;9.235
1926068;1;0.99;0.99;0.99;0.9;0.974;0.796;5.97;2.435;8.405
2426096;1;0.98;1;1;0.99;0.994;0.769;5.7675;2.485;8.2525
1926131;1;0.85;0.85;0.85;0.7;0.85;0.737;5.5275;2.125;7.6525
2426003;0.95;0.875;0.9;1;1;0.945;0.862;6.465;2.3625;8.8275
1926163;0.85;0.85;0.85;0.875;0.85;0.855;0.99;7.425;2.1375;9.5625
1926197;1;0.99;0.99;0.99;0.9;0.974;0.614;4.605;2.435;7.04
2426089;0.86;0.75;1;1;0.7;0.862;0.969;7.2675;2.155;9.4225
1926144;1;0.99;0;1;0.9;0.778;0.779;5.8425;1.945;7.7875
1926185;0.95;1;1;1;0.84;0.958;0.653;4.8975;2.395;7.2925
2326059;1;1;0.98;1;0.92;0.98;0.919;6.8925;2.45;9.3425
2326042;1;0.91;0.99;1;0.7;0.92;0.978;7.335;2.3;9.635
1926182;0.86;0.75;1;1;0.7;0.862;0.4975;3.73125;2.155;5.88625
2426037;1;1;0.95;1;1;0.99;0.7;5.25;2.475;7.725
2326069;1;0.91;0.99;1;0.7;0.92;0.95;7.125;2.3;9.425
2426081;1;0.99;1;0.9;0.15;0.808;0.73;5.475;2.02;7.495
1926279;0.9;0.9;1;1;0.9;0.94;0.8545;6.40875;2.35;8.75875
5126082;0.95;1;1;1;0.84;0.958;0.9032;6.774;2.395;9.169
2326127;1;1;0;0;0;0.4;0.921;6.9075;1;7.9075
1124083;1;1;0;0;0;0.4;0.875;6.5625;1;7.5625
2026079;1;0.99;1;1;0.85;0.968;0.988;7.41;2.42;9.83
1926111;1;1;1;1;0.85;0.97;1;7.5;2.425;9.925
1526154;0.85;0.85;0.85;0.875;0.85;0.855;0.945;7.0875;2.1375;9.225
4526005;1;1;0.98;1;0.92;0.98;0;0;2.45;2.45
